policy_name,labels,compliance_framework,compliance_requirement,compliance_section,status
"""AWS S3 buckets do not have server side encryption""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Unknown Requirement""","""Unknown Section""",true
"""AWS Elasticsearch domain is not configured with HTTPS""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Unknown Requirement""","""Unknown Section""",true
"""AWS Certificate Manager (ACM) has expired certificates""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Unknown Requirement""","""Unknown Section""",true
"""AWS Elastic Load Balancer (Classic) SSL negotiation policy configured with insecure ciphers""","""FSBP""","""CUSTOM - AWS Foundational Security Best Practices standard""","""Unknown Requirement""","""Unknown Section""",true













